Action Stock Horse Foal,Model Number,Name,Color,Release Dates,Released Through/Notes
Missouri Fox Trotter,710197,Iron Metal ChiefWith red and navy plaid blanket,"matte or semigloss black, large star with connected stripe, pink or white snips on nose and lower lip, black mane/tail, bi-color eyes, blue ribbons with yellow crisscross, hind stockings",1997,"JCPenneyHoliday CatalogCame with Certificate of Authenticity. Same as #971with added blanket and ""Limited Edition 1997"" on belly."
Missouri Fox Trotter,710702,St. Louis Blues,"glossy blue roan pinto, black points with white in mane, near hind sock, off fore stocking, burgundy and white ribbons",2002,"BreyerFestRaffle Model, Live Auction(26 made)"
Missouri Fox Trotter,711026,Pierrot,"red dun splash overo, apron face, dark chestnut mane/tail, green with gold ribbons",2006,"BreyerFestSpecial Run(1,200 made)Came with half-sheet Certificate of Authenticity. Showing color variations."
Missouri Fox Trotter,711122,Quiet on the Set,"chestnut, chestnut mane/tail, four socks, gold with red ribbons",2010,BreyerFestVolunteer Model(125-150 made)
Missouri Fox Trotter,711443,Walk of Fame,"chestnut pinto, chestnut/white mane, darker chestnut tail, four stockings, blue with silver ribbons",2013,BreyerFestMusic City Mashup Horse Diorama Prize(28 made)
Missouri Fox Trotter,712029,Frankensteed,"decorator patchwork of various patterns, black with gold ribbons",2009,Lone Star Experience(100 made)
Missouri Fox Trotter,712072,Arosa,glossy dapple grey with peacock spots on blanket,2012,"Collector Club Web Special(255 made)""Arosa 2012"" on belly"
Missouri Fox Trotter,712197,Raven,"black, grey mane/tail, pink and gold ribbons",2016,"Chasing the ChesapeakeSpecial Run(70 made)""Breyer 2016 Limited Edition"" stamped on belly."
Missouri Fox Trotter,750198,Snowflake,"light shaded dapple grey, white mane/tail, shaded hindquarters and legs, red ribbons with gold",1998,Holiday Horse
Missouri Fox Trotter,750198,Snowflake,,,"EarlyJCPenneyHoliday Catalog variation has crosspieces of the mane ribbons gold only in the central area, with red at the tips."
Missouri Fox Trotter,,Pumpkin Sorrel with green and blue braids,pumpkin sorrel with green and blue braids,1999,BreyerFestLive Auction(1 made)
Missouri Fox Trotter,,Fanfare,"glossy Copenhagen, bald face, white mane/tail, four socks, gold ribbons, ""Breyer 50 Years"" oval emblem on left hip",2000,Just About HorsesSubscriber Special(750 made)With Certificate of Authenticity
Missouri Fox Trotter,,Fanfare,"glossy gold charm, bald face, white mane/tail, four socks, blue and gold braids, ""Breyer 50 Years"" oval emblem on left hip",2000,Just About HorsesSubscriber Special(750 made)With Certificate of Authenticity
Missouri Fox Trotter,,Fanfare,"Wedgewood blue, bald face, white mane/tail, gold ribbons, four socks, ""Breyer 50 Years"" oval emblem on left hip",2000,Just About HorsesSubscriber Special(750 made)With Certificate of Authenticity
Missouri Fox Trotter,,Fanfare,"glossy Florentine, bald face, white mane/tail, four socks, ""Breyer 50 Years"" oval emblem on left hip",2000,Just About HorsesSubscriber Special(750 made)With Certificate of Authenticity
Missouri Fox Trotter,,Fanfare Test Set,"Copenhagen, Gold Charm, Wedgewood blue, and Florentine set, hand painted in New Jersey",2001,BreyerFestLive Auction(1 set made)With Certificate of Authenticity
Missouri Fox Trotter,,Glossy Bay Blanket Appaloosa,"glossy shaded bay blanket, black points",2001,BreyerFestLive Auction(1 made)With Certificate of Authenticity.
Missouri Fox Trotter,,Rainbow Masquerade with Gold Braids,"glossy rainbow colored pinto with hidden pictures in pattern, multicolored mane, white tail, four stockings, gold ribbons",2002,BreyerFestLive Auction(1 made)Same pattern as #90114
Missouri Fox Trotter,,Smutty Palomino,"shaded smutty palomino, flaxen and dark grey mane/tail, blaze widening over muzzle, darker knees, four stockings, yellow and line green (?) ribbons",2007,BreyerFestLive Auction(1 made)
Missouri Fox Trotter,,GoldenDappled Palomino Missouri Foxtrotter,"dappled palomino, flaxen mane/tail, high socks, blue and red ribbons",2009,BreyerFestLive Auction(1 made)
Missouri Fox Trotter,,Shimmery Glow-in-the-Dark Decorator,"black and white ""glow-in-the-dark"" decorator pattern, black mane/tail, four socks, red with purple ribbons",2011,BreyerFestLive Auction(1 made)
Missouri Fox Trotter,,Mold No. 486 Missouri Fox Trotter Glossy Pearly Gold Decorator,glossy gold decorator,2015,BreyerFestLive Auction(1 made)
Missouri Fox Trotter,,Bay Roan Missouri Fox Trotter on Mold No. 486,"bay roan, black points, four stockings",2016,BreyerFestLive Auction(1 made)
Missouri Fox Trotter,,Chalky Shaded Dun w/ Two Toned Green Ribbons,chalky shaded dun with two toned green ribbons,2022,BreyerFestLive Auction(1 made)
Missouri Fox Trotter,,Iron Metal Chief,"dark chocolate chestnut, flaxen mane/tail, blaze widening over muzzle, bi-color eyes, three stockings, not off fore, white with red ribbons",?,Probable Test Model
Amazigh Stallion,1885,Cossaco,"buckskin, star",2024-,
Amazigh Stallion,90206,Anamar,"dappled rose grey, front sock",2022,Premier Collection
Amazigh Stallion,90206,AnamarOn base,"dappled rose grey, front sock",2022,Premier Collection1st Production Piece(1 made)With Certificate of Authenticity
Amazigh Stallion,711617,Speos,"chestnut, stripe, two socks",2023,"BreyerFestSpecial Run(2,160 made)Stamped ""BreyerFest 2023''"
Amazigh Stallion,711617,Speos,"glossy colorshift red/black decorator, stripe, two socks",2023,"BreyerFestSpecial Run(240 made)Stamped ""BreyerFest 2023''"
Amazigh Stallion,,Glossy Dappled Palomino,"glossy dappled palomino, stripe",2023,"BreyerFestLive Auction(1 made, sold for $9,500)With Certificate of Authenticity"
Misty,20,Mistyof Chincoteague,"glossy or semigloss palomino tobiano, white mane/tail, white circles covering eye on left, brown circle on right, old pinto pattern",1972,"The ""Four Eyed Misty"""
Misty,20,Misty of Chincoteague,"glossy palomino tobiano, stenciled blaze, white mane/tail, near side has no white spot around eye, old pinto pattern",1972-1973(?),
Misty,20,Misty of Chincoteague,"matte palomino tobiano, stenciled blaze, white mane/tail, near side has no white spot around eye, old pinto pattern",1972-1973(?),
Misty,20,"Misty of Chincoteague(1972-1975)Misty(1977-1980)Marguerite Henry's Misty(1981-1993, 1997)","matte, glossy or semigloss palomino tobiano, white mane/tail, on left blanket is smaller than above, covering withers and extending down to girth area",1973-1984,Color has varied over the years from tan/palomino to orangey yellow to fairly dark chestnut.See belowfor examples.
Misty,207,"Misty of Chincoteague(1972-1975)Misty(1977-1980)Marguerite Henry's Misty(1981-1993, 1997)","matte, glossy or semigloss palomino tobiano, white mane/tail, on left blanket is smaller than above, covering withers and extending down to girth area",1973-1984,"Showing ""eye shadow"" variation around off side eye."
Misty,20,"Marguerite Henry's Misty(1981-1993, 1997)Misty by Marguerite Henry(1994-1996, 1998)Marguerite Henry's Misty of Chincoteague(1999-2006)","matte palomino tobiano, white mane/tail,  slightly larger white patches on the body than 1973-1984 above, near side foreleg has stenciled white patch ankle to elbow, blaze covers left eye",1985-2006,Models released in first three months of 1997 have bi-colored eyes
Misty,1157,"Misty and Stormy Set with BookWithStormy, paperback book","matte palomino tobiano, black or bi-color eyes,  slightly larger white patches on the body than 1973-1984 above, near side foreleg has stenciled white patch ankle to elbow, blaze covers left eye",2009-current,Same as 1985-2006 #20
Misty,1263,"Pony Family Gift SetWithHaflinger,Sea Star","grulla pinto, broken blaze, pink snip, eye whites, grulla/flaxen mane/tail",2006-2008,
Misty,1286,"Misty & Stormy Model & Book SetWith ""Misty of Chincoteague"" paperback andStormy","matte palomino tobiano, white mane/tail,  slightly larger white patches on the body than 1973-1984 above, near side foreleg has stenciled white patch ankle to elbow, blaze covers left eye",2007-2008,Same as 1985-2006 #20
Misty,1863,The Phantom & MistyWithStormy,black tobiano,2022,
Misty,2055,"Misty Gift SetWith ""Misty of Chincoteague"" paperback and carrying case","matte, glossy or semigloss palomino tobiano, white mane/tail, on left blanket is smaller than above, covering withers and extending down to girth area",1972-1981,Same as #20
Misty,2169,"Marguerite Henry's Misty Stormy and Sea StarWithSea Star,Stormy","matte, glossy or semigloss palomino tobiano, white mane/tail, on left blanket is smaller than above, covering withers and extending down to girth area","1980,1983-1985",JCPenneyHoliday Catalog - 1980Same as 1973-1984 #20
Misty,400293,"Misty and Stormy Gift SetWithStormy, and ""Misty of Chincoteague"" paperback","matte, glossy or semigloss palomino tobiano, white mane/tail, on left blanket is smaller than above, covering withers and extending down to girth area",1983,Spiegel and Smithsonian holiday catalogsSame as 1973-1984 #20
Misty,410020,Misty,"glossy Florentine; dappled metallic gold, bald face, white points",1990,BreyerFestRaffle Model(20 made)BreyerFestLive Auction(1 made)
Misty,430040,Bay Pinto Misty,bay tobiano,2023,Test Piece Raffle Model(1 made)With Certificate of Authenticity
Misty,700200,SariDun Exmoor Pony,"shaded dun, lighter face, shaded muzzle, dark brown/black points",August to November 2000,Breyer Fall Show Special
Misty,700401,JinglesHoliday Pony with Sleigh,"grey, white snip, pink shaded muzzle, white mane/tail, near stocking, off side fore sock, darker grey legs",2001,Holiday Horse
Misty,700493,"Misty and Stormy Gift SetWithStormy, Paul Beebe doll and paperback","matte palomino tobiano, white mane/tail,  slightly larger white patches on the body than 1973-1984 above, near side foreleg has stenciled white patch ankle to elbow, blaze covers left eye",1993,FAO Schwartz catalogSame as 1985-2006 #20
Misty,701295,Misty,"matte palomino tobiano, white mane/tail,  slightly larger white patches on the body than 1973-1984 above, near side foreleg has stenciled white patch ankle to elbow, blaze covers left eye",1995,QVCSame as 1985-2006 #20
Misty,711188,Time To Party!,"glossy silver filigree, white points, bald face, pink/peach nose",2014,"BreyerFestStore andWeb Special(1,200 made)Stamped ""25th Anniversary BreyerFest 2014"" on belly."
Misty,711439,CarrotCake,"dark palomino, white mane/tail, lighter muzzle with mouth line, darker legs",2009,BreyerFestContest Prize(28 made)
Misty,712142,Coral and ReefWithStormy,"glossy bay tobiano, bald head, black mane/tail, four stockings",2015,"Vintage Club(500 made)With numbered Certificate of Authenticity booklet. Stamped ""2015 Vintage Collectors Club"" on belly."
Misty,712279,Wish and WonderWithStormy,dapple grey,2018,Web Special
Misty,712908,"Misty of Chincoteague Island Camping Gift SetWithStormy, Camping Play Set:  Ashley - Junior Rider, Stable Feeding Set, Three Nylon Halters","matte palomino tobiano, black or bi-color eyes,  near side foreleg has stenciled white patch ankle to elbow, blaze covers left eye",2014-current,Same as 1985-2006 #20
Misty,715092,Misty of ChincoteagueMarguerite Henry's Favorite Horse,"matte palomino tobiano, white mane/tail,  white lower face, no brown circles around eyes. Plastic resin with marble dust added.",1992,"JCPenneyHoliday Catalog(1,500 made)With Certificate of Authenticity, Numbered by hand on belly"
Misty,,"Misty Gift SetWith ""Misty of Chincoteague"" paperback and carrying case","glossy or matte palomino tobiano, stenciled blaze, white mane/tail, near side has no white spot around eye, old pinto pattern",1972,SearsHoliday CatalogSame as 1972-1973 #20
Misty,4921042,"Misty of Chincoteague Gift SetWithStormy,""Misty of Chincoteague""paperback","matte, glossy or semigloss palomino tobiano, white mane/tail, on left blanket is smaller than above, covering withers and extending down to girth area",1982,SearsHoliday CatalogSame as 1973-1984 #20
Misty,4921050,MargueriteHenry's Stormy and MistyWith flockedStormy,"palomino tobiano, white synthetic hair mane/tail, flocked",1984,SearsHoliday CatalogLeftovers sold throughBentley Sales
Misty,,"Misty Gift SetWith ""Misty of Chincoteague"" paperback and carrying case","matte palomino tobiano, white mane/tail,  slightly larger white patches on the body than 1973-1984 above, near side foreleg has stenciled white patch ankle to elbow, blaze covers left eye",1985,Montgomery WardsHoliday CatalogSame as 1985-2006 #20
Misty,,"Plaster cast Misty, prototype",,1990,BreyerFestLive Auction(1 made)
Misty,,Resin Cast Misty of Chincoteague - unpainted,unpainted,1993,BreyerFestLive Auction(1 made)
Misty,,Black and White Pinto Misty,black and white pinto,1995,BreyerFestLive Auction(1 made)
Misty,,Blue Dun,"blue dun, bald face, darker mane/tail, at least one off hind sock",2000,BreyerFestLive Auction(1 made)
Misty,,"""Jangles""Golden Palomino Holiday Pony","golden palomino, white points, blaze, shaded muzzle",2001,BreyerFestSilent Auction(1 made)
Misty,,Color Change PintosWithStormy,color change overo,2006,BreyerFestLive Auction(1 made)
Misty,,"Mold No. 16, 19, & 20Sea Star,Stormy, and MistySoft Baby Chestnut Tobiano Pinto, Baby Black Snowcap Appaloosa, and Dark Bay Pintaloosa",dark bay pintaloosa,2019,BreyerFestLive Auction(1 made)With Certificate of Authenticity
Misty,,Gold Pinto Decorator Misty and Stormy Test RunWithStormy,glossy gold pinto decorator,2023,Ebay Auction Benefit Test Run Model - Beebe Ranch(1 made)With Certificate of Authenticity
Amber,1256,Twin Palomino FoalsWithAshley,"palomino, blaze, white mane/tail, faint socks or stockings",2004-2005,
Amber,1297,Takoda,"chestnut tobiano, broad blaze, flaxen mane/tail, stockings",2007-2009,
Amber,1326,Mare and Foal Color Crazy EventWithNational Show Horse,"light to dark chestnut, blaze, chestnut mane, white tail, hind stockings, fore socks",2008,Treasure Hunt
Amber,1326,Mare and Foal Color Crazy Event - variationWithNational Show Horse,"chestnut, no blaze or stockings",2008,Treasure Hunt
Amber,1437,Appaloosa FoalsWithAshley,"brown leopard, grey muzzle",2012-2014,"With two halters and ""birth certificate"""
Amber,1437G,Glossy Appaloosa FoalsWithAshley,"glossy brown leopard, grey muzzle",2014,BreyerFestChild/Youth Show Sectional Reserve Champion(26 made)
Amber,1749,Sweet PeaWith blanket and necklace,"chestnut, wide blaze, four stockings",2016-2017,"Also sold in #712979, Best Friends Gift Set"
Amber,3197,Amber & AshleyWithAshley,"chestnut, star, darker chestnut mane/tail, grey chestnuts, right front and two hind stockings",1997-1999,
Amber,3356,Twin Morgan FoalsWithAshley,"dark bay, star and snip, black points",2000-2002,
Amber,410154,"Black Tie AffaireWithStrapless,Zippo Pine Bar","black blanket, blaze, snip, hind stockings",2004,JCPenneyHoliday Catalog
Amber,620005,Mare and Foal Care SetWithLady Phase,chestnut tobiano,2009,Breyer Online Store onlySame as #1297
Amber,700399,Cricket& WillowWithAshley,"glossy bay pinto, bald face, four stockings, black points",1999,Breyer Tour Model
Amber,700402,"Sugarplum andPeppermintWithAshley, toboggan, presents, snowballs, earmuffs, scarf","chestnut/sorrel, lighter lower legs",2002,Holiday Horse
Amber,700636,"North Pole Play SetWith doll, antler headband, halter, saddlebags, Christmas list.","chestnut pinto, blaze, white tail, chestnut/white mane, stockings",2006,
Amber,710301,Shadow of Blue,"blue with black overcoat, star and snip, black points",2001,"BreyerFestSpecial Run(1,500 made)"
Amber,710600,Leah's FancyBreyer,"dun pinto, star, white tail tip",2000,"BreyerFestSpecial Run(2,500 made)"
